field_id,n_mukeys,n_components,n_horizons,avg_om_pct,avg_ph,total_aws_inches,avg_cec,avg_clay_pct,avg_sand_pct,dominant_soil,drainage_class,ph_constraint,erosion_risk
osm-1052414024,9,8,19,4.868421052631579,7.105263157894737,3.71,23.05263157894737,27.57894736842105,33.421052631578945,Clarion,Moderately well drained,none,moderate
osm-1360326432,9,7,18,4.691666666666666,6.861111111111111,3.47,23.727777777777774,28.444444444444443,32.51111111111111,Webster,Poorly drained,none,moderate
osm-1360386537,10,9,22,4.215909090909091,7.0,4.19,22.245454545454542,27.681818181818183,34.09090909090909,Webster,Poorly drained,none,moderate
osm-1360394834,8,7,14,3.0535714285714284,6.571428571428571,2.29,18.75714285714286,19.535714285714285,52.2,Spillville,Somewhat poorly drained,none,moderate
